Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
1,4,Vegetarian,Weekly,Large,Medium,Never,Low,Batch Cooking,North Indian,Not aware,Winter,2.3
5,2,Vegetarian,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,Chinese,Somewhat aware,Summer,1.68
4,4,Mixed,Daily,Small,High,Sometimes,Low,Reheated,Indian,Not aware,Monsoon,2.8
3,4,Non-Vegetarian,Daily,Small,Medium,Never,Medium,Fresh Daily,Street Food,Not aware,All year,4.21
3,3,Non-Vegetarian,Daily,Large,Medium,Sometimes,Low,Fresh Daily,Chinese,Not aware,Monsoon,2.7
6,4,Non-Vegetarian,Bulk Buying,Large,Low,Never,Low,Batch Cooking,Italian,Aware,All year,4.48
1,3,Vegetarian,Weekly,Large,Low,Sometimes,Low,Reheated,Fusion,Somewhat aware,Monsoon,1.48
5,3,Mixed,Bulk Buying,Medium,Medium,Often,Low,Fresh Daily,Fusion,Not aware,Winter,4.83
2,2,Vegetarian,Daily,Large,Medium,Sometimes,Medium,Fresh Daily,Chinese,Somewhat aware,Summer,0.48
1,4,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Italian,Not aware,Winter,3.01
4,3,Vegetarian,Daily,Small,Medium,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,Winter,2.27
6,4,Vegetarian,Bulk Buying,Medium,Medium,Never,High,Fresh Daily,Indian,Somewhat aware,Monsoon,4.11
5,2,Non-Vegetarian,Weekly,Medium,Low,Often,High,Batch Cooking,Indian,Not aware,Summer,4.4
5,4,Vegetarian,Daily,Large,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,Monsoon,3.4
5,1,Vegetarian,Bulk Buying,Large,Low,Sometimes,High,Fresh Daily,Street Food,Not aware,Summer,3.9
5,1,Mixed,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,Indian,Somewhat aware,All year,1.03
4,3,Vegetarian,Daily,Large,Low,Sometimes,Medium,Batch Cooking,Chinese,Not aware,Winter,2.79
1,3,Mixed,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,All year,1.87
6,4,Non-Vegetarian,Weekly,Large,High,Never,Medium,Reheated,Street Food,Somewhat aware,Summer,3.87
3,2,Non-Vegetarian,Daily,Medium,High,Often,Low,Batch Cooking,North Indian,Aware,Summer,2.3
4,3,Vegetarian,Bulk Buying,Small,Low,Often,Low,Batch Cooking,Street Food,Aware,Monsoon,5.0
3,3,Non-Vegetarian,Weekly,Small,High,Sometimes,Low,Fresh Daily,Chinese,Not aware,Monsoon,3.0
2,4,Vegetarian,Bulk Buying,Large,High,Often,Low,Batch Cooking,South Indian,Somewhat aware,Summer,3.62
6,3,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Fresh Daily,Chinese,Not aware,Summer,3.87
5,2,Non-Vegetarian,Weekly,Large,Medium,Never,Low,Fresh Daily,Fusion,Aware,Monsoon,2.23
4,4,Vegetarian,Bulk Buying,Large,Low,Never,Low,Fresh Daily,Chinese,Somewhat aware,All year,3.5
3,1,Vegetarian,Weekly,Small,High,Sometimes,High,Reheated,North Indian,Not aware,All year,2.39
5,4,Vegetarian,Weekly,Large,Medium,Often,Medium,Fresh Daily,South Indian,Somewhat aware,Summer,3.44
4,1,Vegetarian,Daily,Medium,Low,Often,Low,Fresh Daily,North Indian,Not aware,Winter,2.57
3,2,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Winter,2.34
3,4,Non-Vegetarian,Bulk Buying,Medium,High,Sometimes,Low,Reheated,Indian,Somewhat aware,Winter,3.79
2,3,Mixed,Weekly,Large,Medium,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Monsoon,3.28
1,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Summer,2.1
4,3,Non-Vegetarian,Bulk Buying,Small,Low,Often,Low,Fresh Daily,Italian,Somewhat aware,Summer,4.75
6,3,Mixed,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,Fusion,Not aware,Summer,3.05
1,2,Vegetarian,Weekly,Small,Medium,Often,Medium,Reheated,Chinese,Somewhat aware,Summer,2.25
6,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Not aware,Summer,2.72
5,1,Vegetarian,Daily,Medium,Low,Often,High,Batch Cooking,South Indian,Aware,Winter,2.29
2,2,Non-Vegetarian,Bulk Buying,Large,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,Summer,3.22
4,1,Non-Vegetarian,Weekly,Medium,High,Never,Low,Batch Cooking,Indian,Aware,Monsoon,1.71
1,3,Vegetarian,Daily,Medium,Low,Sometimes,High,Fresh Daily,Street Food,Somewhat aware,Winter,2.66
5,4,Vegetarian,Daily,Small,High,Sometimes,High,Batch Cooking,South Indian,Not aware,All year,3.72
5,4,Mixed,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,Chinese,Aware,Winter,5.19
3,2,Vegetarian,Weekly,Small,Medium,Often,Low,Reheated,Fusion,Not aware,All year,3.81
1,4,Non-Vegetarian,Daily,Small,Medium,Often,Low,Fresh Daily,Street Food,Somewhat aware,All year,4.88
6,4,Non-Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,Indian,Not aware,Monsoon,5.33
3,4,Vegetarian,Daily,Medium,Medium,Never,Medium,Fresh Daily,Street Food,Not aware,Summer,3.8
6,2,Non-Vegetarian,Weekly,Large,High,Sometimes,Low,Fresh Daily,Chinese,Aware,All year,2.01
5,2,Mixed,Bulk Buying,Medium,Low,Never,Medium,Batch Cooking,Chinese,Not aware,Summer,3.75
5,4,Mixed,Bulk Buying,Small,Low,Often,Low,Batch Cooking,North Indian,Not aware,Monsoon,5.71
5,1,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Reheated,Street Food,Somewhat aware,Winter,1.76
2,2,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Street Food,Not aware,Monsoon,2.81
3,1,Vegetarian,Weekly,Small,Medium,Often,Medium,Reheated,South Indian,Aware,Summer,2.36
3,4,Non-Vegetarian,Weekly,Large,Low,Sometimes,High,Fresh Daily,North Indian,Not aware,Monsoon,3.06
3,3,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Reheated,Street Food,Not aware,Summer,3.39
1,1,Vegetarian,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Fusion,Aware,Summer,0.59
4,1,Non-Vegetarian,Daily,Large,Medium,Often,Low,Batch Cooking,Fusion,Somewhat aware,Monsoon,2.1
1,3,Vegetarian,Daily,Large,Medium,Sometimes,Medium,Batch Cooking,Indian,Not aware,Summer,2.3
5,3,Vegetarian,Bulk Buying,Large,Medium,Sometimes,Low,Reheated,Chinese,Aware,Winter,3.09
5,4,Mixed,Daily,Small,Low,Never,Low,Reheated,Indian,Not aware,All year,3.42
6,2,Mixed,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Winter,1.45
5,4,Non-Vegetarian,Daily,Medium,Low,Never,Low,Reheated,South Indian,Somewhat aware,Summer,3.19
3,2,Mixed,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Indian,Somewhat aware,All year,1.95
6,4,Vegetarian,Weekly,Medium,Medium,Never,Medium,Batch Cooking,North Indian,Not aware,Winter,3.28
3,1,Vegetarian,Daily,Small,Medium,Often,Low,Reheated,Italian,Somewhat aware,All year,1.88
2,1,Mixed,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Winter,1.44
6,1,Mixed,Bulk Buying,Medium,Medium,Often,Medium,Fresh Daily,North Indian,Not aware,All year,3.8
3,2,Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,Indian,Not aware,Monsoon,1.88
1,4,Vegetarian,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,Italian,Somewhat aware,Summer,1.72
3,1,Mixed,Daily,Small,Low,Sometimes,Medium,Reheated,Indian,Somewhat aware,Monsoon,1.3
5,2,Mixed,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,Street Food,Aware,Summer,4.51
2,1,Mixed,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Winter,2.29
3,4,Mixed,Daily,Small,Low,Often,Medium,Fresh Daily,Italian,Somewhat aware,Monsoon,3.55
1,3,Non-Vegetarian,Daily,Small,Medium,Sometimes,Low,Fresh Daily,Street Food,Not aware,Winter,3.92
5,4,Vegetarian,Weekly,Medium,Medium,Never,High,Reheated,Chinese,Not aware,Winter,4.07
3,3,Vegetarian,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Monsoon,3.89
2,3,Mixed,Weekly,Small,Low,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Winter,2.07
2,4,Non-Vegetarian,Weekly,Large,Medium,Never,Medium,Batch Cooking,South Indian,Not aware,All year,3.17
4,1,Non-Vegetarian,Weekly,Small,High,Often,Low,Reheated,North Indian,Not aware,Summer,2.44
5,4,Mixed,Daily,Medium,High,Often,High,Batch Cooking,Fusion,Somewhat aware,All year,4.08
6,3,Mixed,Weekly,Medium,Low,Often,Low,Batch Cooking,South Indian,Somewhat aware,Winter,3.68
3,3,Non-Vegetarian,Daily,Large,Medium,Sometimes,Low,Fresh Daily,Fusion,Aware,Summer,2.92
1,2,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Reheated,Chinese,Not aware,All year,0.93
5,4,Mixed,Daily,Small,Medium,Sometimes,Low,Batch Cooking,Fusion,Not aware,Monsoon,3.09
4,2,Vegetarian,Weekly,Large,Medium,Often,Medium,Fresh Daily,Fusion,Aware,Winter,2.49
5,1,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Summer,1.68
1,4,Non-Vegetarian,Weekly,Medium,Medium,Never,Low,Fresh Daily,Indian,Not aware,Summer,2.78
2,1,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,Fusion,Not aware,Summer,1.86
5,1,Mixed,Daily,Medium,Medium,Sometimes,Medium,Batch Cooking,Street Food,Aware,Monsoon,2.02
5,3,Mixed,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Indian,Somewhat aware,Summer,2.85
3,1,Vegetarian,Bulk Buying,Medium,Low,Never,High,Fresh Daily,North Indian,Somewhat aware,All year,2.23
5,4,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Reheated,Chinese,Not aware,Summer,2.56
6,2,Mixed,Weekly,Large,Low,Sometimes,Low,Fresh Daily,Italian,Not aware,Winter,2.9
3,1,Mixed,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,South Indian,Aware,Summer,1.66
6,4,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Summer,4.03
2,3,Vegetarian,Bulk Buying,Medium,Medium,Often,High,Fresh Daily,North Indian,Somewhat aware,All year,3.68
2,2,Mixed,Weekly,Small,High,Sometimes,Low,Fresh Daily,Chinese,Not aware,Summer,1.32
5,3,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,All year,2.86
4,3,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,Summer,4.63
1,1,Mixed,Weekly,Large,Medium,Often,Low,Reheated,North Indian,Not aware,Monsoon,1.91
5,4,Vegetarian,Weekly,Medium,Medium,Often,Low,Fresh Daily,Indian,Not aware,Monsoon,4.66
2,2,Vegetarian,Daily,Medium,Medium,Often,Low,Reheated,Street Food,Not aware,Summer,3.62
5,3,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Monsoon,3.24
1,4,Vegetarian,Weekly,Large,High,Never,Medium,Fresh Daily,Chinese,Somewhat aware,Monsoon,1.26
5,3,Vegetarian,Daily,Medium,Medium,Never,Medium,Reheated,Street Food,Not aware,Winter,3.67
5,3,Non-Vegetarian,Weekly,Small,High,Often,Low,Fresh Daily,Indian,Somewhat aware,Winter,3.1
5,2,Non-Vegetarian,Daily,Large,Medium,Often,Medium,Reheated,Chinese,Not aware,Monsoon,3.32
4,1,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Monsoon,2.59
3,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Reheated,Indian,Somewhat aware,Summer,2.05
5,4,Mixed,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,Summer,2.56
2,3,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Chinese,Somewhat aware,Summer,1.58
5,2,Mixed,Bulk Buying,Medium,Low,Sometimes,Medium,Reheated,Fusion,Not aware,Summer,2.95
4,4,Vegetarian,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Indian,Somewhat aware,Winter,3.36
3,4,Mixed,Daily,Medium,Low,Often,Medium,Fresh Daily,Indian,Not aware,All year,4.53
4,4,Vegetarian,Daily,Large,Medium,Never,Low,Reheated,Chinese,Somewhat aware,Winter,3.18
4,2,Non-Vegetarian,Daily,Small,Medium,Never,Low,Batch Cooking,Street Food,Somewhat aware,Monsoon,3.57
1,3,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Reheated,North Indian,Aware,Monsoon,1.76
1,3,Vegetarian,Daily,Medium,Low,Never,Medium,Batch Cooking,South Indian,Not aware,Monsoon,1.76
2,2,Vegetarian,Daily,Small,High,Sometimes,Low,Batch Cooking,Italian,Not aware,Monsoon,1.51
1,2,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,High,Fresh Daily,North Indian,Not aware,Winter,3.58
3,1,Mixed,Weekly,Small,Medium,Never,High,Reheated,Indian,Not aware,Summer,2.0
5,2,Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Batch Cooking,Indian,Aware,Winter,3.2
4,3,Non-Vegetarian,Daily,Medium,High,Sometimes,Medium,Fresh Daily,Fusion,Not aware,All year,2.29
3,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,Monsoon,2.97
6,4,Non-Vegetarian,Bulk Buying,Small,Low,Never,Low,Batch Cooking,South Indian,Aware,Summer,5.22
4,1,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,Monsoon,1.52
1,3,Non-Vegetarian,Weekly,Medium,Medium,Often,High,Reheated,Indian,Not aware,Winter,4.13
5,1,Non-Vegetarian,Daily,Large,Medium,Often,Medium,Batch Cooking,Street Food,Not aware,Summer,4.65
4,3,Mixed,Daily,Large,Low,Never,Medium,Fresh Daily,North Indian,Aware,Monsoon,2.3
4,2,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,North Indian,Somewhat aware,Summer,2.55
4,2,Vegetarian,Weekly,Medium,Medium,Often,Low,Fresh Daily,South Indian,Somewhat aware,Summer,2.14
4,3,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Batch Cooking,Chinese,Somewhat aware,Winter,2.45
1,2,Mixed,Daily,Medium,High,Sometimes,Low,Batch Cooking,Indian,Not aware,All year,1.44
4,4,Mixed,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,Italian,Not aware,Winter,3.43
5,3,Mixed,Daily,Medium,High,Sometimes,Low,Fresh Daily,Chinese,Not aware,All year,2.14
2,4,Mixed,Weekly,Large,Low,Sometimes,High,Fresh Daily,Chinese,Aware,All year,2.53
4,3,Non-Vegetarian,Weekly,Small,High,Sometimes,Low,Batch Cooking,North Indian,Aware,Summer,2.19
1,2,Mixed,Daily,Large,High,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Summer,0.23
